Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,
2036,5,31,0.520856516,0.481628458,0.447327,0.428229289,0.423893847,0.421771683,0.434001711,0.466917959,0.546855597,0.619602787,0.597569946,0.530604422,0.467268673,0.428961637,0.414218098,0.449446709,0.568275684,0.746667924,0.769260647,0.66932955,0.60345935,0.553886047,0.542920497,0.521786704,,
2036,6,1,0.533658906,0.506095876,0.46897956,0.447923802,0.440935918,0.437800539,0.442025763,0.473607222,0.52797736,0.529486855,0.501107637,0.464471119,0.439379447,0.419495075,0.417431443,0.445014475,0.514760704,0.614959393,0.669359127,0.644774503,0.627402053,0.589266598,0.570985562,0.554119001,,
2036,6,2,0.516161328,0.494587812,0.465075767,0.448790896,0.453657695,0.474324595,0.553703633,0.614233652,0.631046523,0.604504335,0.563924214,0.529055053,0.506615484,0.49106095,0.491371964,0.51376224,0.573986938,0.703623881,0.735865097,0.691806911,0.656247224,0.613587411,0.605975394,0.592573732,,
2036,6,3,0.568444142,0.543174611,0.497773778,0.470536244,0.468929812,0.492694751,0.572573661,0.624205356,0.633085392,0.589490025,0.551174448,0.508072344,0.486823192,0.477377903,0.478539755,0.49732244,0.544346899,0.673738694,0.722135801,0.682638233,0.654907691,0.618660842,0.610792949,0.59668619,,
2036,6,4,0.573399971,0.548670463,0.505249077,0.474950311,0.468340023,0.494874028,0.575715914,0.635222256,0.651154104,0.599462171,0.547299454,0.506437565,0.481354694,0.47179495,0.467032367,0.487704791,0.540890987,0.669902295,0.724119665,0.686712804,0.657909208,0.618942692,0.607896269,0.592789522,,
2036,6,5,0.571713753,0.545164696,0.49321329,0.467685344,0.463407637,0.489031766,0.564798106,0.613582636,0.623274533,0.588356226,0.546760613,0.511088314,0.492927546,0.479857398,0.487639951,0.51299066,0.564818217,0.68849842,0.740052411,0.698204801,0.664345443,0.619702552,0.610596705,0.599223773,,
2036,6,6,0.575268688,0.545015188,0.500108259,0.470116508,0.466732999,0.489035037,0.559419274,0.61162999,0.630602693,0.598920949,0.559652872,0.513920454,0.493677638,0.480483982,0.48513959,0.512440835,0.575872324,0.68884885,0.716258874,0.674155908,0.642123202,0.608811129,0.611083486,0.606725047,,
2036,6,7,0.579100195,0.548473665,0.50280272,0.470020776,0.4610176,0.461169259,0.484536742,0.534044483,0.581536119,0.564301688,0.521392593,0.475239387,0.44509395,0.42881381,0.425621266,0.45007468,0.505415539,0.591720118,0.639899399,0.620787999,0.604800169,0.583023327,0.582954137,0.577363547,,
2036,6,8,0.554130977,0.517863356,0.477267073,0.456064455,0.448690518,0.445273783,0.459584535,0.499820144,0.552009514,0.543699914,0.507773196,0.464903003,0.436595417,0.421853228,0.4280032,0.464252732,0.530156183,0.643630392,0.702380841,0.667524418,0.637564787,0.602989774,0.581034776,0.559413281,,
2036,6,9,0.560585666,0.535486459,0.497640969,0.478708184,0.486500358,0.496291455,0.52056709,0.564442198,0.618603151,0.621409569,0.534283193,0.486154302,0.455416844,0.434119115,0.433703575,0.460371458,0.534033341,0.70233804,0.765530636,0.727458349,0.694508583,0.633516198,0.616491517,0.608041305,,
2036,6,10,0.584967565,0.561761639,0.519994139,0.487947142,0.48578158,0.514586894,0.599953297,0.681888676,0.695563615,0.643170205,0.585271222,0.531278887,0.501091456,0.491297704,0.491291228,0.513142635,0.570287804,0.726420059,0.78877197,0.750548756,0.715338077,0.660576975,0.638900131,0.620778694,,
2036,6,11,0.590461824,0.56348098,0.523004804,0.486845251,0.48328447,0.511717397,0.599280637,0.68021547,0.701851859,0.647928364,0.592609506,0.545626485,0.512362023,0.49771095,0.498639217,0.528235949,0.622365801,0.775535945,0.834695568,0.799783059,0.754735372,0.686757691,0.644973119,0.616907654,,
2036,6,12,0.589130193,0.563008742,0.518207646,0.4886551,0.483982149,0.515996925,0.607428652,0.69199986,0.706014394,0.655867349,0.593268602,0.532497691,0.501957831,0.489810443,0.489334331,0.508266299,0.577605459,0.748682782,0.83224579,0.817878725,0.786604333,0.712180989,0.67165969,0.639623742,,
2036,6,13,0.611870336,0.581410864,0.538928887,0.506284401,0.501526228,0.535635195,0.619616153,0.729838646,0.75885543,0.696128573,0.621130152,0.551424932,0.510135224,0.489980822,0.488212165,0.507246231,0.57029657,0.740377319,0.801356617,0.770350387,0.735294967,0.679904006,0.661395375,0.639993852,,
2036,6,14,0.614030656,0.585496452,0.539016005,0.499289302,0.486629958,0.489553864,0.517431652,0.574013614,0.629187927,0.611402167,0.546314392,0.492504943,0.459106096,0.440852625,0.438105491,0.465520271,0.53418842,0.682182984,0.744730195,0.703496304,0.674903533,0.639067543,0.627527043,0.614969835,,
2036,6,15,0.583085374,0.554811387,0.508898893,0.482178104,0.476014535,0.478093088,0.495760153,0.541676928,0.597638817,0.584283671,0.535425645,0.484067603,0.450808883,0.429372789,0.425020614,0.452263871,0.51890063,0.646851996,0.718521603,0.690756196,0.661558168,0.623466533,0.609693857,0.58951402,,
2036,6,16,0.548751031,0.526327779,0.491704436,0.473225614,0.475756608,0.509726226,0.594536121,0.68055669,0.706139327,0.658339521,0.604146182,0.553529067,0.528149261,0.513161558,0.510714512,0.528417434,0.601329297,0.764531563,0.815542408,0.768749644,0.721236496,0.66053311,0.637112689,0.62081693,,
2036,6,17,0.589207788,0.570373763,0.52885592,0.495228419,0.489678704,0.52291108,0.607744937,0.713215329,0.727469751,0.67169016,0.60948727,0.549906754,0.510779302,0.4950338,0.494660653,0.514907521,0.582003063,0.758679929,0.823504671,0.790849893,0.750546929,0.685205925,0.647832657,0.625024708,,
2036,6,18,0.600261433,0.575186748,0.531457591,0.495240598,0.488247853,0.516791432,0.603774729,0.696132077,0.708864395,0.650457729,0.588566288,0.531423967,0.500883072,0.485568078,0.485101459,0.505834641,0.56420149,0.727755481,0.792302965,0.765654786,0.719254071,0.660836636,0.634015867,0.61422427,,
2036,6,19,0.583615362,0.557730847,0.510017501,0.479763301,0.473808282,0.500341243,0.582943452,0.65291605,0.688665928,0.660665072,0.617370847,0.569656191,0.547163409,0.528988015,0.522184861,0.53421323,0.60014089,0.748414163,0.818381999,0.790892513,0.743533962,0.674317219,0.641682938,0.622597793,,
2036,6,20,0.595661917,0.571569984,0.526814466,0.492886134,0.491120649,0.523399296,0.603774266,0.687799384,0.703468094,0.644003979,0.580188,0.528228526,0.495194621,0.482143126,0.475290316,0.498180078,0.556292584,0.715414725,0.78464995,0.750136327,0.720668609,0.666474278,0.657815131,0.639846172,,
2036,6,21,0.61112356,0.578561354,0.530987917,0.492191,0.482634957,0.484828018,0.512991746,0.570496089,0.62227951,0.602778291,0.546525583,0.496440654,0.458821223,0.43891132,0.435593258,0.460510471,0.525149832,0.64695961,0.70941647,0.674265104,0.644511493,0.615481914,0.611989015,0.60372081,,
2036,6,22,0.575389793,0.548163168,0.495481167,0.466136519,0.456864899,0.45568691,0.474586147,0.524582204,0.575231828,0.559211017,0.51566383,0.467265771,0.435067092,0.415371528,0.410864652,0.435499567,0.500501253,0.627188948,0.712985148,0.690551521,0.664894608,0.622442747,0.603012077,0.577116627,,
2036,6,23,0.548751031,0.526330194,0.491704436,0.473225614,0.475756608,0.509728037,0.594536121,0.680593514,0.706090429,0.658382985,0.604111772,0.553504316,0.528164956,0.51315371,0.510714512,0.528417434,0.601299113,0.764597967,0.815474797,0.768690484,0.721186391,0.660513792,0.637112689,0.62081693,,
2036,6,24,0.598456156,0.571363334,0.529031183,0.49344629,0.488951448,0.516240833,0.593719065,0.660137934,0.675695445,0.630449358,0.583745408,0.539934189,0.515216245,0.506772316,0.509140684,0.532788971,0.610500849,0.762822364,0.805962445,0.759607257,0.714239893,0.652311163,0.634240391,0.618125683,,
2036,6,25,0.593249366,0.568432489,0.522127679,0.485158142,0.480111553,0.506680097,0.590996483,0.655858485,0.674963395,0.631513784,0.58120495,0.537112265,0.512130205,0.503338514,0.502997741,0.525610937,0.608988015,0.746773189,0.793269871,0.748611259,0.702147363,0.646967779,0.628508639,0.612770644,,
2036,6,26,0.584836653,0.560070128,0.514604002,0.483266289,0.483705346,0.51359397,0.587337121,0.653324796,0.670394138,0.625839438,0.566439799,0.509208927,0.488212072,0.477774407,0.47597577,0.494880019,0.546239065,0.688553669,0.759556348,0.732627375,0.703616235,0.642443192,0.625158159,0.612687418,,
2036,6,27,0.588525121,0.563806546,0.519202266,0.486831446,0.479015453,0.508147341,0.579855423,0.641686608,0.667461723,0.625577127,0.57633729,0.524360375,0.496374154,0.485151424,0.479055504,0.496167132,0.549877838,0.672790903,0.719938314,0.678245191,0.646599248,0.611222294,0.607319461,0.597227215,,
2036,6,28,0.576133153,0.55101792,0.497291699,0.467024595,0.455740302,0.456663024,0.476819856,0.52658419,0.578284021,0.566223603,0.529569535,0.491241121,0.462553722,0.437956948,0.428608159,0.4529011,0.50749142,0.613689507,0.677461148,0.647005279,0.62782183,0.608885971,0.607786313,0.598166121,,
2036,6,29,0.560547995,0.532803637,0.49503785,0.473234065,0.466203619,0.467039811,0.48411605,0.532710055,0.591939057,0.577503757,0.532173834,0.485376592,0.455941032,0.439859959,0.44149022,0.473395647,0.540133008,0.697666849,0.780138112,0.750176163,0.714021019,0.652493712,0.624057051,0.599918999,,
2036,6,30,0.56664254,0.54595913,0.504135044,0.48473967,0.490781944,0.529412893,0.61156753,0.721751736,0.771739094,0.720428098,0.655545856,0.587158143,0.541036463,0.514649284,0.505088594,0.523656362,0.620179454,0.827893761,0.915952985,0.875145816,0.821796135,0.738051199,0.687960829,0.641913714,,
2036,7,1,0.622788944,0.597809716,0.556405983,0.522709888,0.518720301,0.551845195,0.646768328,0.778046916,0.81840012,0.74534697,0.690565205,0.617710652,0.572889787,0.542345208,0.529120955,0.548342787,0.653044857,0.860799446,0.961959105,0.926056407,0.878066407,0.789579523,0.737467429,0.671844619,,
2036,7,2,0.58766665,0.562973909,0.516430024,0.48400677,0.478780918,0.502828359,0.584800859,0.638944114,0.648308785,0.601884671,0.550245556,0.508001172,0.482693872,0.468908111,0.469661444,0.485759278,0.532071043,0.655460444,0.7248039,0.697209487,0.681271351,0.63314385,0.625296578,0.612286521,,
2036,7,3,0.587698905,0.564863221,0.519390469,0.48723522,0.482804882,0.507191437,0.59132893,0.665379887,0.68738115,0.624455503,0.559539185,0.50711919,0.489027121,0.473818507,0.473594776,0.492471338,0.550169629,0.67831652,0.732233058,0.753832358,0.732010009,0.664925172,0.644240281,0.627670404,,
2036,7,4,0.597884597,0.5733506,0.529472904,0.494483558,0.487964063,0.514745515,0.595829887,0.670993598,0.699410133,0.635049337,0.579362256,0.532611391,0.50348081,0.4844647,0.483741828,0.50547117,0.574082006,0.742810965,0.812244381,0.787099767,0.756698368,0.694608278,0.682639405,0.652591879,,
2036,7,5,0.619041804,0.588798637,0.541803768,0.502538728,0.487459353,0.488689369,0.519774388,0.578636682,0.638274684,0.62624661,0.560989311,0.505893276,0.458874506,0.432790453,0.429411691,0.460802555,0.530243819,0.680899089,0.750738247,0.715394431,0.674505423,0.632158127,0.623371245,0.607685386,,
2036,7,6,0.568767972,0.531922897,0.487766399,0.464941329,0.457803101,0.455619733,0.474276347,0.526189981,0.587228696,0.568528773,0.52354209,0.478474133,0.441714815,0.416567157,0.410631653,0.436048812,0.509397201,0.659268643,0.759058017,0.752818818,0.723718358,0.66234996,0.624969387,0.602037208,,
2036,7,7,0.567960452,0.547996142,0.512744082,0.491147943,0.491468995,0.526468261,0.610638116,0.730557183,0.788674054,0.743949362,0.672470339,0.604468437,0.558975464,0.527422776,0.517862497,0.550218189,0.663767876,0.849304681,0.919030001,0.874508164,0.837002037,0.744383816,0.691748663,0.646862327,,
2036,7,8,0.617394249,0.590158219,0.545841997,0.509290658,0.503328111,0.534823995,0.617127468,0.738440484,0.78597055,0.732242564,0.668152948,0.610691674,0.575514874,0.56039821,0.555237762,0.576274217,0.669774336,0.837149347,0.917740316,0.87622864,0.828424652,0.749380738,0.704186928,0.65318541,,
2036,7,9,0.621274033,0.594590511,0.55040367,0.513034135,0.50594671,0.538171729,0.617302497,0.728780982,0.7649592,0.713645324,0.654755441,0.594227131,0.554155069,0.529606155,0.52511838,0.552078657,0.628377304,0.799246177,0.873889378,0.835384916,0.798497562,0.72228947,0.686311716,0.643225933,,
2036,7,10,0.615353295,0.588439747,0.544375269,0.509326339,0.501631797,0.532356727,0.611617725,0.718167866,0.758358544,0.713339614,0.655092409,0.592280305,0.545038684,0.514274702,0.506642236,0.525503052,0.603720815,0.769269699,0.855976217,0.827608595,0.799238176,0.72183704,0.688374749,0.645061665,,
2036,7,11,0.615420321,0.587677726,0.541725234,0.502318075,0.494645853,0.522170127,0.601375122,0.688418842,0.732815951,0.694640814,0.632256448,0.559764749,0.520412164,0.488659204,0.481834082,0.502587388,0.568099302,0.712678324,0.786911491,0.760661212,0.721104561,0.668972701,0.657781957,0.63474065,,
2036,7,12,0.608518949,0.575306195,0.528365383,0.488453657,0.474447388,0.474858471,0.500191039,0.55524055,0.615922306,0.622113464,0.570716054,0.5154618,0.475925442,0.453701474,0.453491771,0.482994056,0.537838828,0.67203924,0.739301955,0.709499232,0.674618989,0.640078348,0.633996694,0.619258461,,
2036,7,13,0.579498703,0.544366564,0.500316884,0.475499457,0.469930453,0.467166468,0.47867663,0.527043217,0.588189075,0.5869828,0.559399721,0.519563311,0.490319779,0.465116755,0.450890198,0.467421949,0.517969926,0.636614927,0.728368413,0.714314256,0.683539576,0.637690676,0.614913292,0.588127885,,
2036,7,14,0.552410762,0.521295316,0.485243994,0.468197811,0.469805151,0.496503709,0.569873311,0.627684728,0.666770448,0.640899977,0.59157456,0.548051121,0.518784492,0.501509985,0.499078651,0.520488686,0.588141891,0.741203626,0.82015306,0.794261819,0.75542894,0.677763623,0.649475622,0.630711791,,
